id;rua;semaforo;sentido;num_faixas;c1;m1;o1;cm1;c2;m2;o2;cm2;c3;m3;o3;cm3;c4;m4;o4;cm4;fluxo;fluxo_sat
1;Av. Olimpio Prates/Av. Castelar Prates;1;A/B;1;1;0;0;0;4;5;0;0;3;0;0;0;0;3;0;0;22,6;1043,478261
2;Av. Olimpio Prates;1;A/C;1;2;6;0;0;16;3;0;0;8;6;0;0;2;3;0;0;67,96;1043,478261
3;Av. Olimpio Prates/Av. Castelar Prates;-;A/D;1;3;3;0;0;1;0;0;0;4;0;0;0;5;5;0;1;34,6;1043,478261
4;Av. Castelar Prates/Av. Olimpio Prates;2;B/A;1;5;2;0;0;1;3;0;0;6;5;0;0;4;3;0;0;30,6;1043,478261
5;Av. Castelar Prates/Av. Olimpio Prates;2;B/C;1;7;4;0;1;7;4;0;0;17;5;1;0;7;1;0;0;82,6;1043,478261
6;Av. Castelar Prates;2;B/D;1;49;55;0;2;49;51;0;1;62;40;0;1;43;35;0;1;308,8;1043,478261
7;Av. Olimpio Prates;3;C/A;1;8;4;0;0;9;9;0;0;9;4;0;1;14;7;0;0;65,24;1043,478261
8;Av. Olimpio Prates/Av. Castelar Prates;-;C/B;1;6;4;0;0;7;6;0;1;14;2;0;0;10;3;0;0;58,64;1043,478261
9;Av. Olimpio Prates/Av. Castelar Prates;3;C/D;1;9;12;0;0;4;2;0;0;9;8;0;0;13;8;0;0;62,56;1043,478261
10;Av. Castelar Prates/Av. Olimpio Prates;4;D/A;1;1;1;0;0;1;2;0;0;1;0;0;0;3;3;0;0;15,96;1043,478261
11;Av. Castelar Prates;4;D/B;1;32;29;1;2;24;21;0;0;29;23;0;0;27;20;1;0;190,28;1043,478261
12;Av. Castelar Prates/Av. Olimpio Prates;4;D/C;1;5;8;0;1;10;2;0;1;6;4;0;0;7;8;0;0;50,64;1043,478261
